,day,month,year,film,released,rating,review_link,film_link,numeric_rating,name,director,rating_value,released_event,url,image
13,04,Aug,2024,Ferrari,2023,×,,/marvelfan69/film/ferrari-2023/,0,Ferrari,"[{'@type': 'Person', 'name': 'Michael Mann', 'sameAs': '/director/michael-mann/'}]",3.2,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/ferrari-2023/,https://a.ltrbxd.com/resized/film-poster/3/0/1/5/5/2/301552-ferrari-0-230-0-345-crop.jpg?v=dec8f086d1
14,31,Jul,2024,The Departed,2006,×,,/marvelfan69/film/the-departed/,0,The Departed,"[{'@type': 'Person', 'name': 'Martin Scorsese', 'sameAs': '/director/martin-scorsese/'}]",4.31,"[{'@type': 'PublicationEvent', 'startDate': '2006'}]",https://letterboxd.com/film/the-departed/,https://a.ltrbxd.com/resized/sm/upload/jr/th/pu/pb/laefkgrfa3oKwvBtWTBtf2suiI4-0-230-0-345-crop.jpg?v=f5d8231026
15,29,Jul,2024,Argo,2012,×,,/marvelfan69/film/argo/,0,Argo,"[{'@type': 'Person', 'name': 'Ben Affleck', 'sameAs': '/director/ben-affleck/'}]",3.71,"[{'@type': 'PublicationEvent', 'startDate': '2012'}]",https://letterboxd.com/film/argo/,https://a.ltrbxd.com/resized/sm/upload/vx/tj/jr/as/PHf0KsjBWMmxjf_1_m-0-230-0-345-crop.jpg?v=84217647a3
16,24,Jul,2024,La Chimera,2023,×,,/marvelfan69/film/la-chimera/,0,La Chimera,"[{'@type': 'Person', 'name': 'Alice Rohrwacher', 'sameAs': '/director/alice-rohrwacher-2/'}]",4.07,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/la-chimera/,https://a.ltrbxd.com/resized/film-poster/7/5/2/6/2/6/752626-la-chimera-0-230-0-345-crop.jpg?v=8f8cf76e33
17,21,Jul,2024,The Searchers,1956,×,,/marvelfan69/film/the-searchers/,0,The Searchers,"[{'@type': 'Person', 'name': 'John Ford', 'sameAs': '/director/john-ford-2/'}]",3.94,"[{'@type': 'PublicationEvent', 'startDate': '1956'}]",https://letterboxd.com/film/the-searchers/,https://a.ltrbxd.com/resized/film-poster/4/9/8/5/8/49858-the-searchers-0-230-0-345-crop.jpg?v=51443f7735
18,17,Jul,2024,High and Low,1963,×,,/marvelfan69/film/high-and-low/,0,High and Low,"[{'@type': 'Person', 'name': 'Akira Kurosawa', 'sameAs': '/director/akira-kurosawa/'}]",4.59,"[{'@type': 'PublicationEvent', 'startDate': '1963'}]",https://letterboxd.com/film/high-and-low/,https://a.ltrbxd.com/resized/sm/upload/do/zm/ur/ug/dgnyE40yWdI7gbaHmmB5yCCIVpI-0-230-0-345-crop.jpg?v=b0fd9f50fd
19,15,Jul,2024,The Magnificent Ambersons,1942,×,,/marvelfan69/film/the-magnificent-ambersons/,0,The Magnificent Ambersons,"[{'@type': 'Person', 'name': 'Orson Welles', 'sameAs': '/director/orson-welles-1/'}]",3.89,"[{'@type': 'PublicationEvent', 'startDate': '1942'}]",https://letterboxd.com/film/the-magnificent-ambersons/,https://a.ltrbxd.com/resized/film-poster/5/1/1/9/8/51198-the-magnificent-ambersons-0-230-0-345-crop.jpg?v=886922ee8a
20,09,Jul,2024,Federer: Twelve Final Days,2024,×,,/marvelfan69/film/federer-twelve-final-days/,0,Federer: Twelve Final Days,"[{'@type': 'Person', 'name': 'Asif Kapadia', 'sameAs': '/director/asif-kapadia/'}, {'@type': 'Person', 'name': 'Joe Sabia', 'sameAs': '/director/joe-sabia/'}]",3.75,"[{'@type': 'PublicationEvent', 'startDate': '2024'}]",https://letterboxd.com/film/federer-twelve-final-days/,https://a.ltrbxd.com/resized/film-poster/1/1/3/1/2/1/0/1131210-federer-twelve-final-days-0-230-0-345-crop.jpg?v=15526571b9
21,03,Jul,2024,The Age of Innocence,1993,×,,/marvelfan69/film/the-age-of-innocence/,0,The Age of Innocence,"[{'@type': 'Person', 'name': 'Martin Scorsese', 'sameAs': '/director/martin-scorsese/'}]",3.8,"[{'@type': 'PublicationEvent', 'startDate': '1993'}]",https://letterboxd.com/film/the-age-of-innocence/,https://a.ltrbxd.com/resized/sm/upload/ya/m4/xj/mi/36euuWA31TtH5E8TRZJRvdZ9pP-0-230-0-345-crop.jpg?v=fad43e88d7
22,02,Jul,2024,His Girl Friday,1940,×,,/marvelfan69/film/his-girl-friday/,0,His Girl Friday,"[{'@type': 'Person', 'name': 'Howard Hawks', 'sameAs': '/director/howard-hawks/'}]",4.05,"[{'@type': 'PublicationEvent', 'startDate': '1940'}]",https://letterboxd.com/film/his-girl-friday/,https://a.ltrbxd.com/resized/film-poster/4/9/8/8/6/49886-his-girl-friday-0-230-0-345-crop.jpg?v=a31152c98c
